year,city,country,local_avg_temp,,year,global_avg_temp,
1743,London,United Kingdom,7.54,,,,
1744,London,United Kingdom,10.34,,,,
1745,London,United Kingdom,4.13,,,,
1746,London,United Kingdom,,,,,
1747,London,United Kingdom,,,,,
1748,London,United Kingdom,,,,,
1749,London,United Kingdom,,,,,
1750,London,United Kingdom,10.25,,1750,8.72,
1751,London,United Kingdom,9.99,,1751,7.98,
1752,London,United Kingdom,6.54,,1752,5.78,
1753,London,United Kingdom,9.42,,1753,8.39,
1754,London,United Kingdom,9.2,,1754,8.47,
1755,London,United Kingdom,8.95,,1755,8.36,
1756,London,United Kingdom,9.42,,1756,8.85,
1757,London,United Kingdom,9.34,,1757,9.02,
1758,London,United Kingdom,8.85,,1758,6.74,
1759,London,United Kingdom,9.8,9.176,1759,7.99,8.03
1760,London,United Kingdom,9.26,9.077,1760,7.19,7.877
1761,London,United Kingdom,9.69,9.047,1761,8.77,7.956
1762,London,United Kingdom,8.99,9.292,1762,8.61,8.239
1763,London,United Kingdom,8.75,9.225,1763,7.5,8.15
1764,London,United Kingdom,9.14,9.219,1764,8.4,8.143
1765,London,United Kingdom,8.95,9.219,1765,8.25,8.132
1766,London,United Kingdom,9.07,9.184,1766,8.41,8.088
1767,London,United Kingdom,8.98,9.148,1767,8.22,8.008
1768,London,United Kingdom,9.12,9.175,1768,6.78,8.012
1769,London,United Kingdom,9.04,9.099,1769,7.69,7.982
1770,London,United Kingdom,9.03,9.076,1770,7.69,8.032
1771,London,United Kingdom,8.78,8.985,1771,7.85,7.94
1772,London,United Kingdom,9.36,9.022,1772,8.19,7.898
1773,London,United Kingdom,9.33,9.08,1773,8.22,7.97
1774,London,United Kingdom,9.1,9.076,1774,8.77,8.007
1775,London,United Kingdom,10.1,9.191,1775,9.18,8.1
1776,London,United Kingdom,9.21,9.205,1776,8.3,8.089
1777,London,United Kingdom,9.25,9.232,1777,8.26,8.093
1778,London,United Kingdom,9.8,9.3,1778,8.54,8.269
1779,London,United Kingdom,10.76,9.472,1779,8.98,8.398
1780,London,United Kingdom,9.67,9.536,1780,9.43,8.572
1781,London,United Kingdom,10.41,9.699,1781,8.1,8.597
1782,London,United Kingdom,8.44,9.607,1782,7.9,8.568
1783,London,United Kingdom,9.97,9.671,1783,7.68,8.514
1784,London,United Kingdom,8.29,9.59,1784,7.86,8.423
1785,London,United Kingdom,8.54,9.434,1785,7.36,8.241
1786,London,United Kingdom,8.35,9.348,1786,8.26,8.237
1787,London,United Kingdom,9.53,9.376,1787,8.03,8.214
1788,London,United Kingdom,9.39,9.335,1788,8.45,8.205
1789,London,United Kingdom,9.12,9.171,1789,8.33,8.14
1790,London,United Kingdom,9.67,9.171,1790,7.98,7.995
1791,London,United Kingdom,9.59,9.089,1791,8.23,8.008
1792,London,United Kingdom,9.56,9.201,1792,8.09,8.027
1793,London,United Kingdom,9.59,9.163,1793,8.23,8.082
1794,London,United Kingdom,10,9.334,1794,8.53,8.149
1795,London,United Kingdom,9.19,9.399,1795,8.35,8.248
1796,London,United Kingdom,9.5,9.514,1796,8.27,8.249
1797,London,United Kingdom,9.62,9.523,1797,8.51,8.297
1798,London,United Kingdom,9.83,9.567,1798,8.67,8.319
1799,London,United Kingdom,7.94,9.449,1799,8.51,8.337
1800,London,United Kingdom,9.32,9.414,1800,8.48,8.387
1801,London,United Kingdom,9.68,9.423,1801,8.59,8.423
1802,London,United Kingdom,9.31,9.398,1802,8.58,8.472
1803,London,United Kingdom,8.79,9.318,1803,8.5,8.499
1804,London,United Kingdom,9.37,9.255,1804,8.84,8.53
1805,London,United Kingdom,8.56,9.192,1805,8.56,8.551
1806,London,United Kingdom,9.87,9.229,1806,8.43,8.567
1807,London,United Kingdom,9.03,9.17,1807,8.28,8.544
1808,London,United Kingdom,8.91,9.078,1808,7.63,8.44
1809,London,United Kingdom,8.99,9.183,1809,7.08,8.297
1810,London,United Kingdom,8.97,9.148,1810,6.92,8.141
1811,London,United Kingdom,10.1,9.19,1811,6.86,7.968
1812,London,United Kingdom,8.58,9.117,1812,7.05,7.815
1813,London,United Kingdom,9.13,9.151,1813,7.74,7.739
1814,London,United Kingdom,7.93,9.007,1814,7.59,7.614
1815,London,United Kingdom,8.99,9.05,1815,7.24,7.482
1816,London,United Kingdom,7.98,8.861,1816,6.94,7.333
